city_id,city_name,prov_id
1,PIDIE JAYA,1
2,SIMEULUE,1
3,BIREUEN,1
4,ACEH TIMUR,1
5,ACEH UTARA,1
6,PIDIE,1
7,ACEH BARAT DAYA,1
8,GAYO LUES,1
9,ACEH SELATAN,1
10,ACEH TAMIANG,1
11,ACEH BESAR,1
12,ACEH TENGGARA,1
13,BENER MERIAH,1
14,ACEH JAYA,1
15,LHOKSEUMAWE,1
16,ACEH BARAT,1
17,NAGAN RAYA,1
18,LANGSA,1
19,BANDA ACEH,1
20,ACEH SINGKIL,1
21,SABANG,1
22,ACEH TENGAH,1
23,SUBULUSSALAM,1
24,NIAS SELATAN,2
25,MANDAILING NATAL,2
26,DAIRI,2
27,LABUHAN BATU UTARA,2
28,TAPANULI UTARA,2
29,SIMALUNGUN,2
30,LANGKAT,2
31,SERDANG BEDAGAI,2
32,TAPANULI SELATAN,2
33,ASAHAN,2
34,PADANG LAWAS UTARA,2
35,PADANG LAWAS,2
36,LABUHAN BATU SELATAN,2
37,PADANG SIDEMPUAN,2
38,TOBA SAMOSIR,2
39,TAPANULI TENGAH,2
40,HUMBANG HASUNDUTAN,2
41,SIBOLGA,2
42,BATU BARA,2
43,SAMOSIR,2
44,PEMATANG SIANTAR,2
45,LABUHAN BATU,2
46,DELI SERDANG,2
47,GUNUNGSITOLI,2
48,NIAS UTARA,2
49,NIAS,2
50,KARO,2
51,NIAS BARAT,2
52,MEDAN,2
53,PAKPAK BHARAT,2
54,TEBING TINGGI,2
55,BINJAI,2
56,TANJUNG BALAI,2
57,DHARMASRAYA,3
58,SOLOK SELATAN,3
59,SIJUNJUNG (SAWAH LUNTO SIJUNJUNG),3
60,PASAMAN BARAT,3
61,SOLOK,3
62,PASAMAN,3
63,PARIAMAN,3
64,TANAH DATAR,3
65,PADANG PARIAMAN,3
66,PESISIR SELATAN,3
67,PADANG,3
68,SAWAH LUNTO,3
69,LIMA PULUH KOTO / KOTA,3
70,AGAM,3
71,PAYAKUMBUH,3
72,BUKITTINGGI,3
73,PADANG PANJANG,3
74,KEPULAUAN MENTAWAI,3
75,INDRAGIRI HILIR,4
76,KUANTAN SINGINGI,4
77,PELALAWAN,4
78,PEKANBARU,4
79,ROKAN HILIR,4
80,BENGKALIS,4
81,INDRAGIRI HULU,4
82,ROKAN HULU,4
83,KAMPAR,4
84,KEPULAUAN MERANTI,4
85,DUMAI,4
86,SIAK,4
87,TEBO,5
88,TANJUNG JABUNG BARAT,5
89,MUARO JAMBI,5
90,KERINCI,5
91,MERANGIN,5
92,BUNGO,5
93,TANJUNG JABUNG TIMUR,5
94,SUNGAIPENUH,5
95,BATANG HARI,5
96,JAMBI,5
97,SAROLANGUN,5
98,PALEMBANG,6
99,LAHAT,6
100,OGAN KOMERING ULU TIMUR,6
101,MUSI BANYUASIN,6
102,PAGAR ALAM,6
103,OGAN KOMERING ULU SELATAN,6
104,BANYUASIN,6
105,MUSI RAWAS,6
106,MUARA ENIM,6
107,OGAN KOMERING ULU,6
108,OGAN KOMERING ILIR,6
109,EMPAT LAWANG,6
110,LUBUK LINGGAU,6
111,PRABUMULIH,6
112,OGAN ILIR,6
113,BENGKULU TENGAH,7
114,REJANG LEBONG,7
115,MUKO MUKO,7
116,KAUR,7
117,BENGKULU UTARA,7
118,LEBONG,7
119,KEPAHIANG,7
120,BENGKULU SELATAN,7
121,SELUMA,7
122,BENGKULU,7
123,LAMPUNG UTARA,8
124,WAY KANAN,8
125,LAMPUNG TENGAH,8
126,MESUJI,8
127,PRINGSEWU,8
128,LAMPUNG TIMUR,8
129,LAMPUNG SELATAN,8
130,TULANG BAWANG,8
131,TULANG BAWANG BARAT,8
132,TANGGAMUS,8
133,LAMPUNG BARAT,8
134,PESISIR BARAT,8
135,PESAWARAN,8
136,BANDAR LAMPUNG,8
137,METRO,8
138,BELITUNG,9
139,BELITUNG TIMUR,9
140,BANGKA,9
141,BANGKA SELATAN,9
142,BANGKA BARAT,9
143,PANGKAL PINANG,9
144,BANGKA TENGAH,9
145,KEPULAUAN ANAMBAS,10
146,BINTAN,10
147,NATUNA,10
148,BATAM,10
149,TANJUNG PINANG,10
150,KARIMUN,10
151,LINGGA,10
152,JAKARTA UTARA,11
153,JAKARTA BARAT,11
154,JAKARTA TIMUR,11
155,JAKARTA SELATAN,11
156,JAKARTA PUSAT,11
157,KEPULAUAN SERIBU,11
158,DEPOK,12
159,KARAWANG,12
160,CIREBON,12
161,BANDUNG,12
162,SUKABUMI,12
163,SUMEDANG,12
164,INDRAMAYU,12
165,MAJALENGKA,12
166,KUNINGAN,12
167,TASIKMALAYA,12
168,CIAMIS,12
169,SUBANG,12
170,PURWAKARTA,12
171,BOGOR,12
172,BEKASI,12
173,GARUT,12
174,PANGANDARAN,12
175,CIANJUR,12
176,BANJAR,12
177,BANDUNG BARAT,12
178,CIMAHI,12
179,PURBALINGGA,13
180,KEBUMEN,13
181,MAGELANG,13
182,CILACAP,13
183,BATANG,13
184,BANJARNEGARA,13
185,BLORA,13
186,BREBES,13
187,BANYUMAS,13
188,WONOSOBO,13
189,TEGAL,13
190,PURWOREJO,13
191,PATI,13
192,SUKOHARJO,13
193,KARANGANYAR,13
194,PEKALONGAN,13
195,PEMALANG,13
196,BOYOLALI,13
197,GROBOGAN,13
198,SEMARANG,13
199,DEMAK,13
200,REMBANG,13
201,KLATEN,13
202,KUDUS,13
203,TEMANGGUNG,13
204,SRAGEN,13
205,JEPARA,13
206,WONOGIRI,13
207,KENDAL,13
208,SURAKARTA (SOLO),13
209,SALATIGA,13
210,SLEMAN,14
211,BANTUL,14
212,YOGYAKARTA,14
213,GUNUNG KIDUL,14
214,KULON PROGO,14
215,GRESIK,15
216,KEDIRI,15
217,SAMPANG,15
218,BANGKALAN,15
219,SUMENEP,15
220,SITUBONDO,15
221,SURABAYA,15
222,JEMBER,15
223,PAMEKASAN,15
224,JOMBANG,15
225,PROBOLINGGO,15
226,BANYUWANGI,15
227,PASURUAN,15
228,BOJONEGORO,15
229,BONDOWOSO,15
230,MAGETAN,15
231,LUMAJANG,15
232,MALANG,15
233,BLITAR,15
234,SIDOARJO,15
235,LAMONGAN,15
236,PACITAN,15
237,TULUNGAGUNG,15
238,MOJOKERTO,15
239,MADIUN,15
240,PONOROGO,15
241,NGAWI,15
242,NGANJUK,15
243,TUBAN,15
244,TRENGGALEK,15
245,BATU,15
246,TANGERANG,16
247,SERANG,16
248,PANDEGLANG,16
249,LEBAK,16
250,TANGERANG SELATAN,16
251,CILEGON,16
252,KLUNGKUNG,17
253,KARANGASEM,17
254,BANGLI,17
255,TABANAN,17
256,GIANYAR,17
257,BADUNG,17
258,JEMBRANA,17
259,BULELENG,17
260,DENPASAR,17
261,MATARAM,18
262,DOMPU,18
263,SUMBAWA BARAT,18
264,SUMBAWA,18
265,LOMBOK TENGAH,18
266,LOMBOK TIMUR,18
267,LOMBOK UTARA,18
268,LOMBOK BARAT,18
269,BIMA,18
270,TIMOR TENGAH SELATAN,19
271,FLORES TIMUR,19
272,ALOR,19
273,ENDE,19
274,NAGEKEO,19
275,KUPANG,19
276,SIKKA,19
277,NGADA,19
278,TIMOR TENGAH UTARA,19
279,BELU,19
280,LEMBATA,19
281,SUMBA BARAT DAYA,19
282,SUMBA BARAT,19
283,SUMBA TENGAH,19
284,SUMBA TIMUR,19
285,ROTE NDAO,19
286,MANGGARAI TIMUR,19
287,MANGGARAI,19
288,SABU RAIJUA,19
289,MANGGARAI BARAT,19
290,LANDAK,20
291,KETAPANG,20
292,SINTANG,20
293,KUBU RAYA,20
294,PONTIANAK,20
295,KAYONG UTARA,20
296,BENGKAYANG,20
297,KAPUAS HULU,20
298,SAMBAS,20
299,SINGKAWANG,20
300,SANGGAU,20
301,MELAWI,20
302,SEKADAU,20
303,KOTAWARINGIN TIMUR,21
304,SUKAMARA,21
305,KOTAWARINGIN BARAT,21
306,BARITO TIMUR,21
307,KAPUAS,21
308,PULANG PISAU,21
309,LAMANDAU,21
310,SERUYAN,21
311,KATINGAN,21
312,BARITO SELATAN,21
313,MURUNG RAYA,21
314,BARITO UTARA,21
315,GUNUNG MAS,21
316,PALANGKA RAYA,21
317,TAPIN,22
318,BANJAR,22
319,HULU SUNGAI TENGAH,22
320,TABALONG,22
321,HULU SUNGAI UTARA,22
322,BALANGAN,22
323,TANAH BUMBU,22
324,BANJARMASIN,22
325,KOTABARU,22
326,TANAH LAUT,22
327,HULU SUNGAI SELATAN,22
328,BARITO KUALA,22
329,BANJARBARU,22
330,KUTAI BARAT,23
331,SAMARINDA,23
332,PASER,23
333,KUTAI KARTANEGARA,23
334,BERAU,23
335,PENAJAM PASER UTARA,23
336,BONTANG,23
337,KUTAI TIMUR,23
338,BALIKPAPAN,23
